"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Ptms",0.017869882258335,-0.543727813240208,0.258,0.367,1,"Ptms","OPC","P23","Down"
"Bicral",0.0182005763744725,-0.654156858625979,0.222,0.322,1,"Bicral","OPC","P23","Down"
"Luc7l3",0.0190200751162896,0.296731625994758,0.787,0.683,1,"Luc7l3","OPC","P23","Up"
"Clasp2",0.0191497527974473,0.432668073072544,0.697,0.633,1,"Clasp2","OPC","P23","Up"
"Kcnma1",0.0192247473064669,-0.432707214922573,0.425,0.533,1,"Kcnma1","OPC","P23","Down"
"Cadm1",0.019552501877408,-0.375016742843654,0.633,0.728,1,"Cadm1","OPC","P23","Down"
"Dhcr7",0.0197765776344412,-0.67240430215703,0.186,0.283,1,"Dhcr7","OPC","P23","Down"
"Wipf1",0.0197954016685222,-0.497692236663268,0.208,0.317,1,"Wipf1","OPC","P23","Down"
"Dyrk1a",0.0198313880298153,-0.658305020398998,0.163,0.261,1,"Dyrk1a","OPC","P23","Down"
"Mfsd11",0.0201945228708442,-0.495959416543786,0.149,0.256,1,"Mfsd11","OPC","P23","Down"
"Ctdsp2",0.0202176496302537,-0.332076211031674,0.434,0.55,1,"Ctdsp2","OPC","P23","Down"
"Pogz",0.0206727221227853,-0.537407593618819,0.276,0.383,1,"Pogz","OPC","P23","Down"
"Hivep2",0.0213732315054267,-0.450574047083418,0.186,0.294,1,"Hivep2","OPC","P23","Down"
"Tia1",0.0214486607330777,0.401701416706328,0.67,0.583,1,"Tia1","OPC","P23","Up"
"B3gntl1",0.0215179252378664,-0.905404392026194,0.163,0.256,1,"B3gntl1","OPC","P23","Down"
"Stxbp4",0.0216709832004477,0.588250540533677,0.285,0.183,1,"Stxbp4","OPC","P23","Up"
"Pten",0.0217145940697473,0.405397003158279,0.462,0.339,1,"Pten","OPC","P23","Up"
"Npepl1",0.0218432143911744,0.701324783582566,0.267,0.172,1,"Npepl1","OPC","P23","Up"
"Ppp1r12c",0.0218724758674396,-0.596006591971803,0.19,0.289,1,"Ppp1r12c","OPC","P23","Down"
"Zcchc18",0.021922059299793,-0.454506223014863,0.317,0.417,1,"Zcchc18","OPC","P23","Down"
"Ptprf",0.0221999484334571,0.504284605184343,0.398,0.3,1,"Ptprf","OPC","P23","Up"
"Ntrk2",0.0222338540657039,0.334037937572661,0.701,0.644,1,"Ntrk2","OPC","P23","Up"
"Huwe1",0.0223671488433994,-0.449111721796996,0.362,0.489,1,"Huwe1","OPC","P23","Down"
"Slc24a3",0.02305776514315,-0.696953642149923,0.181,0.272,1,"Slc24a3","OPC","P23","Down"
"Ehmt1",0.0230927215831054,-0.38524212082781,0.321,0.439,1,"Ehmt1","OPC","P23","Down"
"Nav3",0.0234394523935629,0.583113761292059,0.403,0.306,1,"Nav3","OPC","P23","Up"
"Stk11",0.0234685131458044,0.619089964916967,0.258,0.161,1,"Stk11","OPC","P23","Up"
"Brd1",0.0238059389766057,-0.662085285900506,0.167,0.261,1,"Brd1","OPC","P23","Down"
"Ppp1r16b",0.0238188548494308,0.796838233068039,0.33,0.25,1,"Ppp1r16b","OPC","P23","Up"
"Atp8a1",0.0241462825015411,0.471441740651983,0.579,0.494,1,"Atp8a1","OPC","P23","Up"
"Rabl6",0.0244446276482276,0.435645032976818,0.376,0.278,1,"Rabl6","OPC","P23","Up"
"Srrm2",0.0245751367516206,0.257170574626973,0.747,0.667,1,"Srrm2","OPC","P23","Up"
"Polb",0.0247234403210288,0.702188175283199,0.294,0.2,1,"Polb","OPC","P23","Up"
"Mtf2",0.0250412377169847,-0.546003512716961,0.222,0.322,1,"Mtf2","OPC","P23","Down"
"Hs2st1",0.0252420446865936,-0.469894870703221,0.204,0.317,1,"Hs2st1","OPC","P23","Down"
"Srgap1",0.0252869974897645,-0.44749800413226,0.398,0.472,1,"Srgap1","OPC","P23","Down"
"Pdia6",0.0256176462492569,-0.397756558405175,0.434,0.522,1,"Pdia6","OPC","P23","Down"
"Ranbp3",0.0258767856436368,0.728293229103535,0.294,0.206,1,"Ranbp3","OPC","P23","Up"
"Vars",0.0259742031133782,-0.795604755022178,0.199,0.283,1,"Vars","OPC","P23","Down"
