"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Tmem150a",0.00245766913048827,0.705689225561942,0.565,0.381,1,"Tmem150a","Mature_OL","P23","Up"
"Synm",0.0024653377935415,1.41317025817618,0.261,0.119,1,"Synm","Mature_OL","P23","Up"
"Gng12",0.0027114571301365,-1.1245544764298,0.167,0.313,1,"Gng12","Mature_OL","P23","Down"
"Socs6",0.00277713002690884,0.795806654537569,0.413,0.254,1,"Socs6","Mature_OL","P23","Up"
"Syf2",0.00281384715184579,1.25507049060169,0.283,0.134,1,"Syf2","Mature_OL","P23","Up"
"Nsdhl",0.00281617759906958,-0.927766449773446,0.196,0.351,1,"Nsdhl","Mature_OL","P23","Down"
"Tmtc2",0.00290386392740581,0.793279803993267,0.486,0.328,1,"Tmtc2","Mature_OL","P23","Up"
"Elf2",0.00292483469250131,1.18532874351798,0.341,0.187,1,"Elf2","Mature_OL","P23","Up"
"Arl8a",0.00297521772636762,-0.875679960780838,0.312,0.47,1,"Arl8a","Mature_OL","P23","Down"
"Dusp15",0.00316232828533406,0.445635227741185,0.877,0.873,1,"Dusp15","Mature_OL","P23","Up"
"Rsrp1",0.003174417239058,-0.262111192436549,0.935,0.97,1,"Rsrp1","Mature_OL","P23","Down"
"Tbc1d14",0.0032058130844367,0.536712829062519,0.725,0.604,1,"Tbc1d14","Mature_OL","P23","Up"
"Agap1",0.00326406795640398,0.64015777454382,0.717,0.597,1,"Agap1","Mature_OL","P23","Up"
"Cntfr",0.00327268618602754,0.947056836460945,0.355,0.187,1,"Cntfr","Mature_OL","P23","Up"
"Cpeb1",0.00330839116439092,1.03515667483771,0.283,0.134,1,"Cpeb1","Mature_OL","P23","Up"
"Ptgds",0.00334079830728753,2.07542620860506,0.362,0.224,1,"Ptgds","Mature_OL","P23","Up"
"Nr1d2",0.0038097289073614,0.73886433563722,0.442,0.276,1,"Nr1d2","Mature_OL","P23","Up"
"Trim2",0.0039946980872471,0.792017310279269,0.616,0.493,1,"Trim2","Mature_OL","P23","Up"
