"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Zdhhc7",0.848046146384724,-0.08590777702477,0.519,0.6,1,"Zdhhc7","COP","P56","Down"
"Nav2",0.848046146384724,-0.0645297588724456,0.556,0.56,1,"Nav2","COP","P56","Down"
"Col20a1",0.848504617426213,-1.02327138573418,0.333,0.4,1,"Col20a1","COP","P56","Down"
"Fnip2",0.848974588156596,-0.196791287393679,0.296,0.32,1,"Fnip2","COP","P56","Down"
"Tmem9b",0.848974588156596,-0.233388450130015,0.296,0.32,1,"Tmem9b","COP","P56","Down"
"Ndufs7",0.848974588156596,-0.115461700448914,0.296,0.32,1,"Ndufs7","COP","P56","Down"
"Gnaq",0.848974588156596,-0.562972516904761,0.296,0.32,1,"Gnaq","COP","P56","Down"
"Lzts2",0.848974588156596,-0.322651484554917,0.296,0.32,1,"Lzts2","COP","P56","Down"
"Cyp20a1",0.849715501273775,0.339168518158347,0.63,0.56,1,"Cyp20a1","COP","P56","Up"
"Ubap2l",0.849715501273775,-0.00234331357627515,0.593,0.6,1,"Ubap2l","COP","P56","Down"
"Gnptab",0.850720306247016,-0.0767210069553159,0.407,0.36,1,"Gnptab","COP","P56","Down"
"Tor1b",0.851177864519792,-0.00523147373248589,0.259,0.28,1,"Tor1b","COP","P56","Down"
"Mynn",0.851177864519792,-0.3070122207863,0.259,0.28,1,"Mynn","COP","P56","Down"
"Shc1",0.851177864519792,-0.526053481250844,0.259,0.28,1,"Shc1","COP","P56","Down"
"Dhcr7",0.851177864519792,-0.294720168323389,0.259,0.28,1,"Dhcr7","COP","P56","Down"
"Eftud2",0.851177864519792,-0.395671553867295,0.259,0.28,1,"Eftud2","COP","P56","Down"
"Sugp2",0.851615929579539,-0.0337540175857063,0.704,0.6,1,"Sugp2","COP","P56","Down"
"Dclk1",0.852453826031819,-0.21245908099733,0.519,0.48,1,"Dclk1","COP","P56","Down"
"C1ql1",0.852453826031819,0.0642930361464273,0.519,0.48,1,"C1ql1","COP","P56","Up"
"Scamp2",0.852715549113892,0.118515644198259,0.37,0.44,1,"Scamp2","COP","P56","Up"
"Plpbp",0.852715549113892,-0.00464822483454302,0.407,0.4,1,"Plpbp","COP","P56","Down"
"Jmjd6",0.852715549113892,-0.445187802308333,0.407,0.4,1,"Jmjd6","COP","P56","Down"
"Vti1a",0.852715549113892,0.29042708373939,0.407,0.4,1,"Vti1a","COP","P56","Up"
"Mat2a",0.853797134668271,-0.0141680103674156,0.704,0.84,1,"Mat2a","COP","P56","Down"
"Nsd1",0.854312893289813,0.085668405510781,0.889,0.76,1,"Nsd1","COP","P56","Up"
"Srsf5",0.854312893289813,-0.186098638817401,0.815,0.84,1,"Srsf5","COP","P56","Down"
"Map1a",0.854515226961127,0.11030842045775,0.407,0.44,1,"Map1a","COP","P56","Up"
"Cyld",0.854628063529227,0.126778663931179,0.519,0.56,1,"Cyld","COP","P56","Up"
"Os9",0.854628063529227,-0.273786874089107,0.519,0.56,1,"Os9","COP","P56","Down"
"Setd3",0.854628063529227,0.0632845035199936,0.519,0.56,1,"Setd3","COP","P56","Up"
"Ogfr",0.854669696825552,0.0687397734832255,0.296,0.28,1,"Ogfr","COP","P56","Up"
"Yipf1",0.854669696825552,0.204406847074016,0.296,0.28,1,"Yipf1","COP","P56","Up"
"Tmf1",0.854669696825552,0.118902639436896,0.296,0.28,1,"Tmf1","COP","P56","Up"
"Slc38a9",0.854669696825552,0.0833660401373401,0.296,0.28,1,"Slc38a9","COP","P56","Up"
"Creld2",0.854669696825552,0.0780094796577934,0.296,0.28,1,"Creld2","COP","P56","Up"
"Tfeb",0.854669696825552,0.231218317944732,0.296,0.28,1,"Tfeb","COP","P56","Up"
"Tmem245",0.856395115268649,0.108962622157548,0.519,0.64,1,"Tmem245","COP","P56","Up"
"Ctsf",0.858936915337913,0.104301740823541,0.407,0.56,1,"Ctsf","COP","P56","Up"
"Paip2",0.858936915337913,0.209855519166043,0.481,0.48,1,"Paip2","COP","P56","Up"
"Tpm1",0.860510282706233,0.340457661934356,0.296,0.36,1,"Tpm1","COP","P56","Up"
"Snx30",0.860510282706233,-0.225446331385711,0.333,0.32,1,"Snx30","COP","P56","Down"
"Rev3l",0.860510282706233,0.0221151986882837,0.333,0.32,1,"Rev3l","COP","P56","Up"
"Exoc3",0.860510282706233,0.24499795422119,0.333,0.32,1,"Exoc3","COP","P56","Up"
"Ufd1",0.860510282706233,-0.122541452800243,0.333,0.32,1,"Ufd1","COP","P56","Down"
"Ncald",0.860525895998074,-0.317919919134669,0.741,0.72,1,"Ncald","COP","P56","Down"
"Ssh3",0.860525895998074,-0.0990786758724753,0.741,0.72,1,"Ssh3","COP","P56","Down"
"Eif4g2",0.861221599964648,-0.0620020127343712,0.481,0.56,1,"Eif4g2","COP","P56","Down"
"Adam17",0.861221599964648,0.168498443682304,0.481,0.56,1,"Adam17","COP","P56","Up"
"Abhd12",0.861771022084766,0.0712291440120194,0.889,0.88,1,"Abhd12","COP","P56","Up"
"Cpe",0.862200558590969,0.221674934867747,0.481,0.6,1,"Cpe","COP","P56","Up"
"Dennd1a",0.862200558590969,0.0658621365487266,0.556,0.52,1,"Dennd1a","COP","P56","Up"
"Smc5",0.862514869594807,0.101934986355901,0.37,0.48,1,"Smc5","COP","P56","Up"
"Rabggtb",0.862965857533833,0.407950856033328,0.333,0.36,1,"Rabggtb","COP","P56","Up"
"Fam234b",0.862965857533833,0.0198297417433228,0.333,0.36,1,"Fam234b","COP","P56","Up"
"Poglut2",0.865166187337067,0.225232733021337,0.333,0.4,1,"Poglut2","COP","P56","Up"
"Parn",0.865166187337067,0.170207664200733,0.333,0.4,1,"Parn","COP","P56","Up"
"Pcdhgc5",0.865166187337067,-0.0294785810704289,0.333,0.4,1,"Pcdhgc5","COP","P56","Down"
"Ppig",0.865166187337067,-0.482690608299975,0.37,0.36,1,"Ppig","COP","P56","Down"
"Mafg",0.865166187337067,-0.224542064533152,0.37,0.36,1,"Mafg","COP","P56","Down"
"Hdac1",0.86544210766482,0.0916661732176751,0.444,0.48,1,"Hdac1","COP","P56","Up"
"Cyp51",0.86544210766482,0.206941901627926,0.444,0.48,1,"Cyp51","COP","P56","Up"
"Ulk3",0.865799820650561,-0.142987092423058,0.593,0.68,1,"Ulk3","COP","P56","Down"
"Rrp9",0.866115920619582,0.378625066998719,0.222,0.28,1,"Rrp9","COP","P56","Up"
"Atp11c",0.866115920619582,0.112405104315471,0.222,0.28,1,"Atp11c","COP","P56","Up"
"Maged2",0.866115920619582,-0.0630320243647843,0.222,0.28,1,"Maged2","COP","P56","Down"
"Bcl2l1",0.866115920619582,0.165918749675923,0.259,0.24,1,"Bcl2l1","COP","P56","Up"
"Stard7",0.866564578108145,0.277352218521997,0.296,0.32,1,"Stard7","COP","P56","Up"
"Cyp2j9",0.866564578108145,-0.072548377350655,0.296,0.32,1,"Cyp2j9","COP","P56","Down"
"Kat5",0.866564578108145,0.0336281594840479,0.296,0.32,1,"Kat5","COP","P56","Up"
"Tmem108",0.866755776766643,0.110970871307679,0.667,0.68,1,"Tmem108","COP","P56","Up"
"Trip4",0.867143133326625,0.104943036224861,0.407,0.36,1,"Trip4","COP","P56","Up"
"Sympk",0.867496820936368,-0.219766765941539,0.741,0.68,1,"Sympk","COP","P56","Down"
"Adam23",0.867797209479619,0.300598771704038,0.63,0.84,1,"Adam23","COP","P56","Up"
"Ank2",0.867797209479619,-0.191407459891665,0.704,0.76,1,"Ank2","COP","P56","Down"
"Kdm2a",0.86827643093419,0.00446434550399655,0.704,0.84,1,"Kdm2a","COP","P56","Up"
"Dhx37",0.869602200084134,-0.184504668403519,0.259,0.28,1,"Dhx37","COP","P56","Down"
"Rptor",0.869602200084134,0.511941553767809,0.259,0.28,1,"Rptor","COP","P56","Up"
"Zranb2",0.870528636467665,0.0427936520157194,0.407,0.44,1,"Zranb2","COP","P56","Up"
"Lsm14a",0.870528636467665,0.0534722688253225,0.407,0.44,1,"Lsm14a","COP","P56","Up"
"Tub",0.870528636467665,0.247629638890281,0.407,0.44,1,"Tub","COP","P56","Up"
"Csk",0.870528636467665,0.522362299741477,0.407,0.44,1,"Csk","COP","P56","Up"
"Arhgef11",0.871453514488633,-0.182056371180551,0.37,0.32,1,"Arhgef11","COP","P56","Down"
"Anapc1",0.871978304314436,-0.0505379149935222,0.444,0.44,1,"Anapc1","COP","P56","Down"
"Tril",0.871978304314436,0.309064451702007,0.444,0.44,1,"Tril","COP","P56","Up"
"Bicd2",0.871978304314436,0.117173131751597,0.444,0.44,1,"Bicd2","COP","P56","Up"
"Sdha",0.871978304314436,-0.222665659042099,0.444,0.44,1,"Sdha","COP","P56","Down"
"Xrcc4",0.872669884634417,0.216921844973978,0.259,0.32,1,"Xrcc4","COP","P56","Up"
"Rbbp5",0.872669884634417,0.183174682237414,0.296,0.28,1,"Rbbp5","COP","P56","Up"
"Cux2",0.872669884634417,-0.192788042405562,0.296,0.28,1,"Cux2","COP","P56","Down"
"Mark4",0.872669884634417,0.0976882876744775,0.296,0.28,1,"Mark4","COP","P56","Up"
"Lta4h",0.872669884634417,0.26784807346769,0.296,0.28,1,"Lta4h","COP","P56","Up"
"Vbp1",0.872669884634417,0.0399573774254101,0.296,0.28,1,"Vbp1","COP","P56","Up"
"Nf2",0.875384986831642,-0.0792576845799102,0.333,0.28,1,"Nf2","COP","P56","Down"
"Usp5",0.876509958020318,-0.051090216505651,0.481,0.56,1,"Usp5","COP","P56","Down"
"Zfp346",0.877799720633153,-0.186105196036998,0.296,0.36,1,"Zfp346","COP","P56","Down"
"Nedd4l",0.877799720633153,0.184341449852701,0.296,0.36,1,"Nedd4l","COP","P56","Up"
