"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Nectin1",0.0501861867689753,-4.59578182398743,0,0.5,1,"Nectin1","Granule_DG","P23","Down"
"Hyou1",0.0501861867689753,-4.25867738767884,0,0.5,1,"Hyou1","Granule_DG","P23","Down"
"Atp5l",0.0501861867689753,-4.45278526641203,0,0.5,1,"Atp5l","Granule_DG","P23","Down"
"Rcn2",0.0501861867689753,-4.7653166642509,0,0.5,1,"Rcn2","Granule_DG","P23","Down"
"Cep63",0.0501861867689753,-4.25867738767884,0,0.5,1,"Cep63","Granule_DG","P23","Down"
"Lrrfip2",0.0501861867689753,-4.25867738767884,0,0.5,1,"Lrrfip2","Granule_DG","P23","Down"
"Myrip",0.0501861867689753,-4.59578182398743,0,0.5,1,"Myrip","Granule_DG","P23","Down"
"Zfp365",0.0501861867689753,-5.13240246007216,0,0.5,1,"Zfp365","Granule_DG","P23","Down"
"Bcr",0.0501861867689753,-4.25867738767884,0,0.5,1,"Bcr","Granule_DG","P23","Down"
"Sf3a2",0.0501861867689753,-4.25867738767884,0,0.5,1,"Sf3a2","Granule_DG","P23","Down"
"Ppm1h",0.0501861867689753,-4.25867738767884,0,0.5,1,"Ppm1h","Granule_DG","P23","Down"
"Stat2",0.0501861867689753,-4.25867738767884,0,0.5,1,"Stat2","Granule_DG","P23","Down"
"Rab5b",0.0501861867689753,-4.59578182398743,0,0.5,1,"Rab5b","Granule_DG","P23","Down"
"Cd63",0.0501861867689753,-4.02687001686798,0,0.5,1,"Cd63","Granule_DG","P23","Down"
"Rnf185",0.0501861867689753,-4.02687001686798,0,0.5,1,"Rnf185","Granule_DG","P23","Down"
"Sparc",0.0501861867689753,-4.59578182398743,0,0.5,1,"Sparc","Granule_DG","P23","Down"
"Ywhae",0.0501861867689753,-5.03163543852694,0,0.5,1,"Ywhae","Granule_DG","P23","Down"
"Ankrd40",0.0501861867689753,-4.45278526641203,0,0.5,1,"Ankrd40","Granule_DG","P23","Down"
"Kat2a",0.0501861867689753,-4.93131425592132,0,0.5,1,"Kat2a","Granule_DG","P23","Down"
"Psmc5",0.0501861867689753,-4.46419749736807,0,0.5,1,"Psmc5","Granule_DG","P23","Down"
"Fads6",0.0501861867689753,-4.6339876664309,0,0.5,1,"Fads6","Granule_DG","P23","Down"
"Usp36",0.0501861867689753,-4.42114807545514,0,0.5,1,"Usp36","Granule_DG","P23","Down"
"Map4k5",0.0501861867689753,-4.6339876664309,0,0.5,1,"Map4k5","Granule_DG","P23","Down"
"Acyp1",0.0501861867689753,-4.42114807545514,0,0.5,1,"Acyp1","Granule_DG","P23","Down"
"Angel1",0.0501861867689753,-4.25867738767884,0,0.5,1,"Angel1","Granule_DG","P23","Down"
"Ubr7",0.0501861867689753,-4.59578182398743,0,0.5,1,"Ubr7","Granule_DG","P23","Down"
"Actn2",0.0501861867689753,-4.45278526641203,0,0.5,1,"Actn2","Granule_DG","P23","Down"
"Amph",0.0501861867689753,-4.45278526641203,0,0.5,1,"Amph","Granule_DG","P23","Down"
"H1f4",0.0501861867689753,-4.42114807545514,0,0.5,1,"H1f4","Granule_DG","P23","Down"
"Fars2",0.0501861867689753,-4.02687001686798,0,0.5,1,"Fars2","Granule_DG","P23","Down"
"Zswim6",0.0501861867689753,-4.02687001686798,0,0.5,1,"Zswim6","Granule_DG","P23","Down"
"Depdc1b",0.0501861867689753,-4.59578182398743,0,0.5,1,"Depdc1b","Granule_DG","P23","Down"
"Slc38a9",0.0501861867689753,-4.45278526641203,0,0.5,1,"Slc38a9","Granule_DG","P23","Down"
"Fut11",0.0501861867689753,-4.02687001686798,0,0.5,1,"Fut11","Granule_DG","P23","Down"
"Peli2",0.0501861867689753,-4.45278526641203,0,0.5,1,"Peli2","Granule_DG","P23","Down"
"Arhgef40",0.0501861867689753,-5.05997644581168,0,0.5,1,"Arhgef40","Granule_DG","P23","Down"
"Mphosph8",0.0501861867689753,-4.7653166642509,0,0.5,1,"Mphosph8","Granule_DG","P23","Down"
"Lmo7",0.0501861867689753,-4.59578182398743,0,0.5,1,"Lmo7","Granule_DG","P23","Down"
"Wdr70",0.0501861867689753,-4.25867738767884,0,0.5,1,"Wdr70","Granule_DG","P23","Down"
"Scube1",0.0501861867689753,-4.7560611528622,0,0.5,1,"Scube1","Granule_DG","P23","Down"
"Smarcd1",0.0501861867689753,-4.42114807545514,0,0.5,1,"Smarcd1","Granule_DG","P23","Down"
"Pcbp2",0.0501861867689753,-4.59578182398743,0,0.5,1,"Pcbp2","Granule_DG","P23","Down"
"Psmd2",0.0501861867689753,-4.45278526641203,0,0.5,1,"Psmd2","Granule_DG","P23","Down"
"Zbtb20",0.0501861867689753,-4.45278526641203,0,0.5,1,"Zbtb20","Granule_DG","P23","Down"
"Nrip1",0.0501861867689753,-4.25867738767884,0,0.5,1,"Nrip1","Granule_DG","P23","Down"
"Syngr3",0.0501861867689753,-4.7560611528622,0,0.5,1,"Syngr3","Granule_DG","P23","Down"
"Lemd2",0.0501861867689753,-4.45278526641203,0,0.5,1,"Lemd2","Granule_DG","P23","Down"
"Ilrun",0.0501861867689753,-4.7653166642509,0,0.5,1,"Ilrun","Granule_DG","P23","Down"
"Anks1",0.0501861867689753,-4.42114807545514,0,0.5,1,"Anks1","Granule_DG","P23","Down"
