"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Gnaq",0.911761099116575,-0.026050130860392,0.302,0.318,1,"Gnaq","OPC_1","P08","Down"
"Srcap",0.91189343260726,-0.0552692864508748,0.484,0.494,1,"Srcap","OPC_1","P08","Down"
"Mcoln1",0.913461241770836,-0.00960360712739572,0.294,0.298,1,"Mcoln1","OPC_1","P08","Down"
"Bmp7",0.913983982764462,0.0555869354253122,0.425,0.445,1,"Bmp7","OPC_1","P08","Up"
"Bin1",0.914454774318345,-0.0819892011141529,0.337,0.331,1,"Bin1","OPC_1","P08","Down"
"Med12l",0.914565747007741,0.0614199217834492,0.577,0.604,1,"Med12l","OPC_1","P08","Up"
"Fmn2",0.914736105823208,0.0739120683155776,0.441,0.457,1,"Fmn2","OPC_1","P08","Up"
"Scn8a",0.915482559658815,0.0052357119286357,0.589,0.58,1,"Scn8a","OPC_1","P08","Up"
"Mtch1",0.915485480066534,0.0572643238362585,0.244,0.253,1,"Mtch1","OPC_1","P08","Up"
"Selenon",0.917577162365966,0.119536313194761,0.257,0.261,1,"Selenon","OPC_1","P08","Up"
"Atp1a2",0.917736430172735,-0.0545853112843591,0.767,0.776,1,"Atp1a2","OPC_1","P08","Down"
"Htt",0.91868151624179,0.0520540604639502,0.36,0.376,1,"Htt","OPC_1","P08","Up"
"Ttc19",0.9196117557087,0.00795489027396123,0.38,0.384,1,"Ttc19","OPC_1","P08","Up"
"Elp1",0.919759797431732,0.0719512681626306,0.307,0.327,1,"Elp1","OPC_1","P08","Up"
"Bcl2l2",0.920486746557577,0.0768524471957271,0.308,0.327,1,"Bcl2l2","OPC_1","P08","Up"
"Klf7",0.920997539961282,-0.0656300850726279,0.267,0.265,1,"Klf7","OPC_1","P08","Down"
"Rptor",0.921205959057191,-0.0247306580271465,0.264,0.278,1,"Rptor","OPC_1","P08","Down"
"Phka1",0.92167242833595,0.0157217434745386,0.259,0.273,1,"Phka1","OPC_1","P08","Up"
"Mta3",0.921869339007524,-0.00756578505199046,0.252,0.253,1,"Mta3","OPC_1","P08","Down"
"Ppfibp1",0.92231411876567,0.0443865943916462,0.579,0.571,1,"Ppfibp1","OPC_1","P08","Up"
"Idh3g",0.922615293808674,-0.0390136137952202,0.363,0.363,1,"Idh3g","OPC_1","P08","Down"
"Lemd2",0.922658216675536,0.0802108829698819,0.309,0.335,1,"Lemd2","OPC_1","P08","Up"
"Fam135a",0.922965360104035,0.0202653143504266,0.393,0.412,1,"Fam135a","OPC_1","P08","Up"
"Zkscan2",0.926352256247023,0.0430449801269313,0.475,0.486,1,"Zkscan2","OPC_1","P08","Up"
"Sec24b",0.926473126804765,0.0277910379641871,0.284,0.286,1,"Sec24b","OPC_1","P08","Up"
"Tagln3",0.928358024689367,-0.0881850881486725,0.377,0.367,1,"Tagln3","OPC_1","P08","Down"
"Acp1",0.929104337590067,-0.00100873064304252,0.241,0.253,1,"Acp1","OPC_1","P08","Down"
"Sirpa",0.929421206673531,0.00338669374572209,0.254,0.253,1,"Sirpa","OPC_1","P08","Up"
"Cacna1e",0.931629219770889,0.0936652708679974,0.347,0.347,1,"Cacna1e","OPC_1","P08","Up"
"Supt20",0.932063690063551,-0.0377469569049882,0.49,0.506,1,"Supt20","OPC_1","P08","Down"
"Pianp",0.932585428213118,0.0104059299368524,0.26,0.261,1,"Pianp","OPC_1","P08","Up"
"Zcchc14",0.932602266404898,0.00524716737094755,0.261,0.269,1,"Zcchc14","OPC_1","P08","Up"
"Aup1",0.93289870933998,0.0299929277462841,0.307,0.318,1,"Aup1","OPC_1","P08","Up"
"Micu3",0.933068614399558,0.0448978210665317,0.32,0.335,1,"Micu3","OPC_1","P08","Up"
"Pcgf2",0.933787906337046,-0.0204451885936972,0.394,0.4,1,"Pcgf2","OPC_1","P08","Down"
"Atat1",0.933866538241955,0.0328288318506526,0.359,0.367,1,"Atat1","OPC_1","P08","Up"
"Flna",0.93435954595526,-0.00478979990099027,0.374,0.384,1,"Flna","OPC_1","P08","Down"
"Scyl1",0.936290320707704,-0.0717384471876584,0.257,0.269,1,"Scyl1","OPC_1","P08","Down"
"Cdk17",0.936773272545471,-0.0678028718415173,0.285,0.294,1,"Cdk17","OPC_1","P08","Down"
"Psme4",0.937107894791437,0.0109952318240094,0.323,0.335,1,"Psme4","OPC_1","P08","Up"
"Cpeb2",0.937953746763644,0.0594428213968927,0.338,0.355,1,"Cpeb2","OPC_1","P08","Up"
